"Title","Year","Tomatometer"
"Toy Story 2","1999","100%"
"Toy Story","1995","100%"
"Finding Nemo","2003","99%"
"How to Train Your Dragon","2010","99%"
"Inside Out","2015","98%"
"Toy Story 3","2010","98%"
"Zootopia","2016","98%"
"Up","2009","98%"
"Toy Story 4","2019","97%"
"Spider-Man: Into the Spider-Verse","2018","97%"
"Coco","2017","97%"
"The Incredibles","2004","97%"
"The Mitchells vs. the Machines","2021","97%"
"The LEGO Movie","2014","96%"
"Ratatouille","2007","96%"
"Monsters, Inc.","2001","96%"
"Soul","2020","95%"
"Moana","2016","95%"
"WALL-E","2008","95%"
"Puss in Boots: The Last Wish","2022","95%"
"Finding Dory","2016","94%"
"Raya and the Last Dragon","2021","93%"
"The Sea Beast","2022","95%"
"Incredibles 2","2018","93%"
"The Little Prince","2015","92%"
"Arthur Christmas","2011","92%"
"Antz","1998","92%"
"A Bug's Life","1998","92%"
"How to Train Your Dragon 2","2014","92%"
"The LEGO Batman Movie","2017","90%"
"How to Train Your Dragon: The Hidden World","2019","90%"
"Frozen","2013","90%"
"Bolt","2008","90%"
"Big Hero 6","2014","90%"
"Shrek 2","2004","89%"
"Tangled","2010","89%"
"Onward","2020","88%"
"Ralph Breaks the Internet","2018","88%"
"Rango","2011","88%"
"Shrek","2001","88%"
"The Bad Guys","2022","88%"
"The Peanuts Movie","2015","87%"
"Wreck-It Ralph","2012","87%"
"Kung Fu Panda","2008","87%"
"Captain Underpants: The First Epic Movie","2017","87%"
"Kung Fu Panda 3","2016","86%"
"Puss in Boots","2011","86%"
"Cloudy With a Chance of Meatballs","2009","86%"
"The LEGO Movie 2: The Second Part","2019","84%"
"The Book of Life","2014","83%"
"Sausage Party","2016","82%"
"Abominable","2019","82%"
"Despicable Me","2010","80%"
"Mr. Peabody & Sherman","2014","81%"
"Monsters University","2013","80%"
"Kung Fu Panda 2","2011","81%"
"Dr. Seuss' Horton Hears a Who!","2008","79%"
"Surf's Up","2007","79%"
"Brave","2012","79%"
"Madagascar 3: Europe's Most Wanted","2012","78%"
"Ice Age","2002","77%"
"The Croods: A New Age","2020","77%"
"Happy Feet","2006","76%"
"Smallfoot","2018","76%"
"Despicable Me 2","2013","75%"
"The Good Dinosaur","2015","75%"
"Over the Hedge","2006","75%"
"Trolls","2016","76%"
"Monster House","2006","75%"
"Lightyear","2022","74%"
"Rise of the Guardians","2012","74%"
"The Adventures of Tintin","2011","75%"
"Cars","2006","75%"
"Flushed Away","2006","73%"
"The Secret Life of Pets","2016","70%"
"A Monster in Paris","2011","86%"
"Monsters vs. Aliens","2009","73%"
"Penguins of Madagascar","2014","74%"
"The Amazing Maurice","2022","73%"
"The Angry Birds Movie 2","2019","72%"
"Megamind","2010","73%"
"Rio","2011","72%"
"Strange World","2022","72%"
"The Croods","2013","72%"
"Sing","2016","71%"
"Trolls World Tour","2020","72%"
"Cloudy With a Chance of Meatballs 2","2013","71%"
"Minions: The Rise of Gru","2022","70%"
"Cars 3","2017","69%"
"Meet the Robinsons","2007","67%"
"Turbo","2013","67%"
"Storks","2016","65%"
"Epic","2013","65%"
"Robots","2005","64%"
"Madagascar: Escape 2 Africa","2008","64%"
"Dinosaur","2000","65%"
"Hotel Transylvania 3: Summer Vacation","2018","62%"
"The Ant Bully","2006","62%"
"Despicable Me 3","2017","58%"
"9","2009","57%"
