"Title","Processor","Memory_Capacity","Display","Features","Price"
"Apple MacBook Air 13.3-Inch Retina Display 8-core Apple M1 chip with 8GB RAM, 256GB SSD (MGN63) Space Gray","Apple M1 chip with 8-core CPU and 7-core GPU","RAM: 8GB, Storage: 256GB SSD","13.3-inch 2560x1600 LED-backlit Retina","Backlit Magic Keyboard","100,000৳"
"Lenovo IdeaPad 1 AMD Ryzen 5 7520U 14"" FHD Laptop 8GB DDR5 RAM 256GB SSD with 2 Years warranty","AMD Ryzen 5 7520U (2.8 GHz up to 4.3 GHz)","RAM: 8GB DDR5 5500MHz, Storage: 256GB  SSD","14"" FHD (1920X1080)","Type-C, Privacy shutter, Mil-Std-810h Military Grade Standard","57,000৳"
"Apple MacBook Pro 16 inch M3 Pro Chip Liquid Retina Display 36GB RAM 512GB SSD Space Black #MRW23LL/A","Apple M3 Pro, 12‑core CPU, 18‑core GPU, 16‑core Neural Engine","RAM: 36GB, Storage: 512GB SSD","16.2"" Liquid Retina display (3456 x 2234)","Backlit Magic Keyboard and the Touch ID","395,000৳"
"Lenovo IdeaPad D330 10IGL Celeron N4020 10.1"" HD Detachable 2-in-1 Touch Laptop","Intel Celeron N4020 (4M Cache,1.10 GHz up to 2.80 GHz)","RAM: 4GB DDR4 Storage: 128GB eMMC SSD","10.1"" (1280 x 800) HD Touchscreen","Touch, Type-C, Detachable","30,360৳"
"Lenovo IdeaPad 1 AMD Ryzen 5 7520U 14"" FHD Laptop 8GB DDR5 RAM 256GB SSD Sand with 2 Years Warranty","AMD Ryzen 5 7520U (2.8 GHz up to 4.3 GHz)","RAM: 8GB DDR5 5500MHz, Storage: 256GB  SSD","14"" FHD (1920X1080)","Type-C, Privacy shutter, Mil-Std-810h Military Grade Standard","57,000৳"
"Apple MacBook Air (2022) Apple M2 Chip 13.6-Inch Liquid Retina Display 8GB RAM 256GB SSD Space Gray #MLXW3LL/A / MLXW3ZP/A","Apple M2 chip, 8-core CPU with 4 performance cores and 4 efficiency cores","RAM: 8GB, Storage: 256GB SSD","13.6"" Liquid Retina display (2560 x 1664)","Backlit Magic Keyboard and the Touch ID","135,000৳"
"Lenovo IdeaPad Slim 1 15AMN7 Ryzen 3 7320U 15.6"" FHD Laptop","AMD Ryzen 3 7320U (2.4GHz up to 4.1GHz, 4 cores)","Ram: 8GB DDR5, Storage: 512GB SSD","15.6"" FHD (1920x1080)","Type-C, Dolby Audio","51,000৳"
"HP 250 G8 Core i3 11th Gen 256GB SSD 1TB HDD SSD 15.6"" FHD Laptop with Windows ","Intel Core i3-1115G4 (6MB Cache, 3.00 GHz up to 4.10 GHz)","RAM: 8GB DDR4 3200MHz, Storage: 256GB SSD + 1TB HDD","15.6"" FHD (1920 x 1080) IPS","Full-size island-style keyboard, Type-C","52,500৳"
"Lenovo IdeaPad 1 AMD Ryzen 5 7520U 15.6"" FHD Laptop 8GB DDR5 RAM 256GB SSD with 2 Years Warranty ","AMD Ryzen 5 7520U (4C / 8T, 2.8 / 4.3GHz, 2MB L2 / 4MB L3)","RAM: 8GB DDR5, Storage: 256GB SSD","15.6"" FHD( 1920 x 1080)","HD Audio, Privacy Shutter, Mil-Std-810h Military Grade Standard","57,500৳"
"Apple MacBook Pro 13.3-Inch Retina Display M2 Chip 8GB RAM 256GB SSD Space Gray (MNEH3)","Apple M2 chip, 8-core CPU with 4 performance & 4 efficiency cores","RAM: 8GB, Storage: 256GB SSD","13.3-inch (diagonal) LED-backlit display with IPS technology","Retina display, Magic Keyboard","153,000৳"
"Lenovo IdeaPad 1 AMD Ryzen 5 7520U 15.6"" FHD Laptop 8GB DDR5 RAM 256GB SSD Grey with 2 Years Warranty ","AMD Ryzen 5 7520U (2.8 GHz up to 4.3 GHz)","RAM: 8GB DDR5 5500MHz, Storage: 256GB  SSD","15.6"" FHD (1920X1080)","Type-C, Mil-Std-810h Military Grade Standard","57,500৳"
"Apple MacBook Air 13 inch M3 Chip (2024) Liquid Retina Display 8GB RAM 256GB SSD Midnight #MRXV3ZP/A","Apple M3 chip with 8‑core CPU, 10‑core GPU, 16‑core Neural Engine","RAM: 8GB Unified Memory, Storage: 256GB SSD","13.6-inch Liquid Retina display (2560x1664) with True Tone","Backlit Magic Keyboard with Touch ID","155,000৳"
"Apple MacBook Pro 14 inch M3 Pro Chip Liquid Retina Display 18GB RAM 512GB SSD Silver #MRX63 ","Apple M3 Pro, 11‑core CPU, 14‑core GPU, 16‑core Neural Engine","RAM: 18GB, Storage: 512GB SSD","14.2"" Liquid Retina display (3024 x 1664)","Backlit Magic Keyboard and the Touch ID","285,000৳"
"Apple MacBook Pro 13.3-Inch Retina Display M2 Chip 8GB RAM 512GB SSD Space Gray (MNEJ3)","Apple M2 chip, 8-core CPU with 4 performance & 4 efficiency cores","RAM: 8GB, Storage: 512GB SSD","13.3-inch (diagonal) LED-backlit display with IPS technology","Retina display, Magic Keyboard","170,000৳"
"Apple MacBook Pro 14 inch M3 Pro Chip Liquid Retina XDR Display 18GB RAM 512GB SSD Space Black #MRX33LL/A","Apple M3 Pro Chip, 11‑core CPU, 14‑core GPU, 16‑core Neural Engine","RAM: 18GB Unified Memory, Storage: 512GB SSD","14.2-inch Liquid Retina XDR Display (3024x1964)","Backlit Magic Keyboard with Touch ID","255,000৳"
"Lenovo IdeaPad 1 AMD Ryzen 5 7520U 14"" FHD Laptop 8GB DDR5 RAM 512GB SSD with 2 Years Warranty","AMD Ryzen 5 7520U (2.8 GHz up to 4.3 GHz)","RAM: 8GB DDR5 5500MHz, Storage: 512GB SSD","14"" FHD (1920X1080)","Type-C, Privacy Shutter, Mil-Std-810h Military Grade Standard","59,500৳"
"Lenovo IdeaPad 1 AMD Ryzen 5 7520U 14"" FHD Laptop 8GB DDR5 RAM 512GB SSD Sand with 2 Years Warranty ","AMD Ryzen 5 7520U (2.8 GHz up to 4.3 GHz)","RAM: 8GB DDR5 5500MHz, Storage: 512GB  SSD","14"" FHD (1920X1080)","Type-C, Privacy shutter, Mil-Std-810h Military Grade Standard","59,500৳"
"Apple MacBook Pro 16 inch M3 Pro Chip Liquid Retina Display 18GB RAM 512GB SSD Space Black #MRW13LL/A","Apple M3 Pro, 12‑core CPU, 18‑core GPU, 16‑core Neural Engine","RAM: 18GB, Storage: 512GB SSD","16.2"" Liquid Retina display (3456 x 2234)","Backlit Magic Keyboard and the Touch ID","355,000৳"
"Lenovo IdeaPad 1 AMD Ryzen 5 7520U 15.6"" FHD Laptop 8GB DDR5 RAM 512GB SSD Grey with 2 Years Warranty ","AMD Ryzen 5 7520U (2.8 GHz up to 4.3 GHz)","RAM: 8GB DDR5 5500MHz, Storage: 512GB M.2 NVMe SSD","15.6"" FHD (1920X1080)","Type-C, Privacy shutter, Mil-Std-810h Military Grade Standard","60,000৳"
"Apple MacBook Pro 14 inch M3 Chip Liquid Retina Display 8GB RAM 512GB SSD Space Gray #MTL73","Apple M3 chip with 8-core CPU, 10-core GPU, 16-core Neural Engine","RAM: 8GB, Storage: 512GB SSD","14.2"" Liquid Retina display (3024 x 1664)","Backlit Magic Keyboard and the Touch ID","210,000৳"
